time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-02-10T16:16:15.825Z,-20.6864,-175.4586,10,4.9,mb,,145,6.792,0.74,us,us7000gjnn,2022-02-10T17:07:13.040Z,"56 km NNW of Nuku‘alofa, Tonga",earthquake,15.8,1.9,0.064,76,reviewed,us,us
2022-02-10T10:27:32.765Z,-10.435,-13.0618,10,5.4,mww,,51,2.797,0.79,us,us7000gjme,2022-02-10T12:30:17.501Z,"Ascension Island region",earthquake,10.3,1.9,0.098,10,reviewed,us,us
2022-02-10T09:47:19.772Z,-20.3017,-174.4717,46.12,4.9,mb,,102,6.857,1.1,us,us7000gjma,2022-02-10T10:13:21.040Z,"55 km SSW of Pangai, Tonga",earthquake,6.2,8.9,0.092,37,reviewed,us,us
2022-02-10T09:38:32.883Z,23.9793,122.2855,22.31,4.6,mb,,58,0.66,0.67,us,us7000gjm9,2022-02-10T10:47:24.040Z,"69 km E of Hualien City, Taiwan",earthquake,2.1,5.4,0.1,30,reviewed,us,us
2022-02-10T04:40:52.721Z,-34.2923,179.541,10,5.1,mb,,114,3.413,1.02,us,us7000gjjs,2022-02-10T04:58:53.040Z,"south of the Kermadec Islands",earthquake,6.3,1.9,0.089,43,reviewed,us,us
2022-02-10T02:33:32.641Z,-20.3876,-11.836,10,4.8,mb,,99,26.99,0.94,us,us7000gjja,2022-02-10T02:47:48.040Z,"southern Mid-Atlantic Ridge",earthquake,14.7,1.9,0.122,21,reviewed,us,us
2022-02-10T00:47:45.969Z,-58.3244,-23.0337,10,5,mb,,87,15.741,0.75,us,us7000gjiv,2022-02-10T01:05:36.040Z,"South Sandwich Islands region",earthquake,12,1.9,0.084,45,reviewed,us,us
2022-02-09T23:33:58.062Z,-57.2373,-25.1209,10,5,mb,,50,7.063,0.8,us,us7000gjid,2022-02-09T23:54:57.040Z,"South Sandwich Islands region",earthquake,10.6,1.8,0.073,61,reviewed,us,us
2022-02-09T21:09:59.178Z,-4.6007,102.7133,64.44,4.6,mb,,82,0.339,0.57,us,us7000gjh6,2022-02-09T22:08:33.040Z,"86 km SW of Pagar Alam, Indonesia",earthquake,4.6,5.6,0.088,39,reviewed,us,us
2022-02-09T20:38:48.759Z,-15.1417,-173.3931,10,4.7,mb,,182,1.983,0.63,us,us7000gjgy,2022-02-09T21:46:23.040Z,"99 km NNE of Hihifo, Tonga",earthquake,15.1,1.9,0.066,70,reviewed,us,us
2022-02-09T20:00:56.616Z,44.7765,10.7929,10,4.7,mb,,47,0.445,0.93,us,us7000gjgg,2022-02-10T16:09:04.384Z,"1 km NE of Correggio, Italy",earthquake,4.4,1.8,0.106,27,reviewed,us,us
2022-02-09T18:29:02.302Z,-21.5217,-177.0703,306.52,4.8,mb,,56,5.936,1.25,us,us7000gjfs,2022-02-09T18:47:47.040Z,"196 km WSW of Haveluloto, Tonga",earthquake,10.9,7.7,0.032,307,reviewed,us,us
2022-02-09T18:02:34.280Z,29.3101,142.2366,10,4.6,mb,,117,7.46,0.58,us,us7000gjft,2022-02-09T19:00:23.040Z,"Izu Islands, Japan region",earthquake,11.7,1.9,0.085,41,reviewed,us,us
2022-02-09T14:38:32.023Z,-6.1578,149.9081,56.22,5,mww,,97,4.809,0.57,us,us7000gjch,2022-02-09T15:24:54.040Z,"40 km E of Kandrian, Papua New Guinea",earthquake,9.6,7.7,0.098,10,reviewed,us,us
2022-02-09T14:30:32.012Z,-16.064,-74.631,10,4.7,mb,,148,4.697,0.75,us,us7000gjc8,2022-02-09T15:05:43.040Z,"41 km SW of Atiquipa, Peru",earthquake,10.2,1.9,0.108,26,reviewed,us,us
2022-02-09T13:56:26.473Z,-23.8199,-175.5987,10,5,mb,,124,8.472,0.98,us,us7000gjca,2022-02-09T14:42:38.040Z,"283 km SSW of ‘Ohonua, Tonga",earthquake,13.9,1.5,0.073,60,reviewed,us,us
2022-02-09T13:22:04.815Z,-19.3995,-177.8208,502.77,4.6,mb,,45,4.245,1.14,us,us7000gjc2,2022-02-09T13:39:49.040Z,"Fiji region",earthquake,11.4,8.3,0.032,297,reviewed,us,us
2022-02-09T12:49:18.992Z,-23.7736,-179.7518,519.46,4.6,mb,,73,5.706,1.11,us,us7000gjby,2022-02-09T13:10:01.040Z,"south of the Fiji Islands",earthquake,13.7,7.6,0.041,179,reviewed,us,us
2022-02-09T11:39:11.939Z,-20.6209,-69.1501,93.69,4.7,mb,,66,0.477,0.99,us,us7000gjb8,2022-02-09T18:57:48.951Z,"113 km ESE of Iquique, Chile",earthquake,4.5,6.4,0.06,84,reviewed,us,us
2022-02-08T22:41:46.212Z,26.8031,126.3683,10,5,mww,,73,1.702,1.1,us,us7000gj7l,2022-02-09T16:02:09.181Z,"146 km WNW of Naha, Japan",earthquake,6.5,1.9,0.069,20,reviewed,us,us
2022-02-08T22:29:02.436Z,48.5347,142.3699,10,5,mww,,88,1.598,0.78,us,us7000gj7i,2022-02-08T23:09:24.040Z,"24 km ENE of Krasnogorsk, Russia",earthquake,7.1,1.8,0.093,11,reviewed,us,us
2022-02-08T19:48:18.387Z,84.1597,108.2265,10,4.5,mb,,82,13.139,0.5,us,us7000gj6c,2022-02-10T18:51:33.040Z,"north of Severnaya Zemlya",earthquake,10.9,1.9,0.054,104,reviewed,us,us
2022-02-08T16:36:31.756Z,26.8185,126.548,10,5.6,mww,,51,1.541,0.66,us,us7000gj4q,2022-02-09T20:16:11.040Z,"131 km WNW of Naha, Japan",earthquake,6,1.8,0.043,51,reviewed,us,us
2022-02-08T13:01:00.019Z,-6.4185,150.2296,10,4.7,mb,,120,11.326,0.64,us,us7000gj2p,2022-02-08T14:29:51.040Z,"79 km ESE of Kandrian, Papua New Guinea",earthquake,9.5,1.8,0.106,29,reviewed,us,us
2022-02-08T11:59:26.725Z,-0.4019,-19.8761,10,6.2,mww,,41,9.283,0.74,us,us7000gj2g,2022-02-09T12:02:19.483Z,"central Mid-Atlantic Ridge",earthquake,8.2,1.8,0.061,26,reviewed,us,us
2022-02-08T09:52:03.479Z,84.3054,107.0936,10,4.7,mb,,42,12.979,0.36,us,us7000gj20,2022-02-08T10:23:12.040Z,"north of Severnaya Zemlya",earthquake,10.1,1.9,0.054,103,reviewed,us,us
2022-02-08T08:51:39.245Z,-53.2226,9.4065,10,5,mb,,141,19.284,0.45,us,us7000gj1q,2022-02-08T09:12:31.040Z,"southwest of Africa",earthquake,14.5,1.9,0.129,19,reviewed,us,us
2022-02-08T08:22:22.209Z,-23.6855,-175.6636,10,5.2,mww,,96,5.91,1.12,us,us7000gj1n,2022-02-08T16:26:14.040Z,"270 km SSW of ‘Ohonua, Tonga",earthquake,9.6,1.8,0.098,10,reviewed,us,us
2022-02-08T06:32:39.211Z,-58.3487,-14.7617,10,5.1,mb,,88,12.708,0.83,us,us7000gj10,2022-02-08T06:50:34.040Z,"east of the South Sandwich Islands",earthquake,6.8,1.9,0.076,56,reviewed,us,us
2022-02-08T05:22:13.429Z,-25.8195,-71.1014,38.45,4.5,mb,,105,0.558,1.22,us,us7000gj0p,2022-02-08T05:44:03.040Z,"76 km SW of Taltal, Chile",earthquake,3.6,6.9,0.121,20,reviewed,us,us
2022-02-08T02:28:43.444Z,-30.327,-177.8385,18.65,5,mb,,131,1.063,0.95,us,us7000gj09,2022-02-08T03:20:30.040Z,"Kermadec Islands, New Zealand",earthquake,11.7,4.8,0.118,23,reviewed,us,us
2022-02-08T00:58:42.841Z,54.8953,156.5292,10,4.9,mww,,122,14.009,0.66,us,us7000gizp,2022-02-08T01:34:48.040Z,"136 km W of Mil’kovo, Russia",earthquake,10.8,1.8,0.098,10,reviewed,us,us
2022-02-07T23:29:35.921Z,12.0487,141.68,66.21,5.2,mww,,38,3.466,0.76,us,us7000giyh,2022-02-09T23:39:38.530Z,"282 km NNE of Fais, Micronesia",earthquake,9.4,6.4,0.083,14,reviewed,us,us
2022-02-07T22:42:34.089Z,29.7957,141.2201,56.37,4.5,mb,,73,3.52,0.71,us,us7000giyc,2022-02-08T00:45:53.040Z,"Izu Islands, Japan region",earthquake,8.5,5.7,0.08,46,reviewed,us,us
